identifiant,ville,CP,revenu,remboursement,duree,type,taux
0,TOULOUSE,31100,3669.0,1130.05,240,immobilier,1.168
1,PARIS,75009,5310.0,240.0,64,automobile,3.701
1,PARIS,75009,5310.0,1247.85,300,immobilier,1.173
2,MARSEILLE,13010,1873.0,552.54,240,immobilier,0.972
3,MARSEILLE,13010,1684.0,586.03,180,immobilier,1.014
4,MARSEILLE,13012,1476.0,423.61,240,immobilier,1.209
5,PARIS,75016,2476.0,836.89,240,immobilier,1.116
6,LYON,69008,1867.0,711.33,240,immobilier,1.196
7,NICE,6000,5486.0,2956.95,300,immobilier,1.184
8,BORDEAUX,33200,3578.0,751.38,180,immobilier,1.316
9,MARSEILLE,13012,1386.0,612.61,180,immobilier,1.284
10,PARIS,75011,2293.0,378.34,240,immobilier,1.214
11,BORDEAUX,33200,3346.0,1013.84,240,immobilier,1.199
12,MARSEILLE,13006,1597.0,428.0,120,immobilier,1.085
13,MARSEILLE,13016,2556.0,393.62,300,immobilier,1.22
14,TOULOUSE,31400,2413.0,1334.39,300,immobilier,1.154
15,PARIS,75003,4109.0,1220.37,240,immobilier,1.272
16,PARIS,75001,6118.0,1505.03,240,immobilier,1.211
17,PARIS,75011,4926.0,1507.36,240,immobilier,1.249
18,NICE,6000,5717.0,1726.53,300,immobilier,1.105
19,MARSEILLE,13015,1575.0,346.5,240,immobilier,1.2
20,LYON,69001,3318.0,1237.61,240,immobilier,1.148
21,MARSEILLE,13012,1572.0,407.15,300,immobilier,1.122
22,NICE,6300,5838.0,3018.25,240,immobilier,1.229
23,PARIS,75011,4469.0,1018.93,240,immobilier,1.229
24,MARSEILLE,13016,1616.0,602.77,240,immobilier,1.22
25,PARIS,75009,5533.0,1394.32,300,immobilier,1.165
26,PARIS,75017,4265.0,1100.37,240,immobilier,1.198
27,PARIS,75001,1879.0,509.21,180,immobilier,1.064
28,MARSEILLE,13013,1394.0,535.3,300,immobilier,1.206
29,MARSEILLE,13010,2394.0,579.35,240,immobilier,1.019
30,TOULOUSE,31000,1785.0,514.08,240,immobilier,1.041
31,BORDEAUX,33300,3398.0,550.48,300,immobilier,1.093
32,BORDEAUX,33200,3419.0,1196.65,180,immobilier,1.222
33,NICE,6000,4098.0,1032.7,180,immobilier,1.199
34,LYON,69001,2688.0,768.77,240,immobilier,1.095
35,PARIS,75116,2172.0,436.57,300,immobilier,1.004
36,PARIS,75012,5525.0,1922.7,240,immobilier,1.26
37,PARIS,75004,2760.0,455.4,300,immobilier,1.237
38,LYON,69003,3952.0,1098.66,300,immobilier,1.16
39,MARSEILLE,13012,1619.0,425.8,240,immobilier,1.077
40,TOULOUSE,31400,3837.0,621.59,240,immobilier,1.205
41,MARSEILLE,13002,1672.0,453.11,240,immobilier,1.265
42,LYON,69002,2748.0,1393.24,180,immobilier,1.209
43,MARSEILLE,13011,1347.0,336.75,180,immobilier,1.189
44,MARSEILLE,13006,1311.0,364.46,120,immobilier,1.13
45,MARSEILLE,13016,2254.0,865.54,240,immobilier,1.159
46,MARSEILLE,13004,1484.0,243.38,300,immobilier,1.127
47,MARSEILLE,13001,1618.0,432.01,240,immobilier,1.296
48,MARSEILLE,13011,1994.0,1036.88,240,immobilier,1.088
49,TOULOUSE,31100,2931.0,1442.05,240,immobilier,1.2
50,PARIS,75012,5900.0,1876.2,120,immobilier,1.026
51,MARSEILLE,13016,1374.0,589.45,120,immobilier,1.18
52,MARSEILLE,13011,2660.0,973.56,300,immobilier,1.119
53,LYON,69006,3706.0,1408.28,240,immobilier,1.161
54,NICE,6300,3501.0,749.21,180,immobilier,1.107
55,TOULOUSE,31400,3884.0,881.67,180,immobilier,1.104
56,TOULOUSE,31500,2185.0,642.39,240,immobilier,1.284
